勘定科目,キーワード（;区切りで複数可）,税区分コード,メモ
通信費,Amazon Web Services;AWS.AMAZON,136,優先ルール:AWSを「Amazon」(消耗品費)より先に判定
広告宣伝費,Google Ads;Google広告;グーグル広告,136,優先ルール:Google広告を「Google」(通信費)より先に判定
旅費交通費,タクシー;ﾀｸｼ;TAXI;キャブ;ハイヤー;UBER TRIP;新幹線;JR;スマートEX;航空券;ANA DOMESTIC;JAPAN AIRLINES;JAL国内線;空港;ホテル;HOTEL;宿泊;楽天トラベル;TRIP.COM;BOOKING.COM;AGODA;SUICA;スイカ;PASMO;ICOCA;イコカ;オートチャージ;ETCカード;ETC利用;ETCマイレージ;レンタカ;乗車料金,136,移動・出張の費用。ETCは表記を限定(単独ETCは英語摘要に誤爆するため)
消耗品費,AMAZON;アマゾン;ASKUL;アスクル;モノタロウ;MONOTARO;事務用品;ヨドバシ;ﾖﾄﾞﾊﾞｼ;ニトリ;ﾆﾄﾘ;ダイソー;無印良品;ラクスル;RAKSUL;プリントパック;セブンイレブン;セブン-イレブン;ローソン;ﾛ-ｿﾝ;ファミリーマート;ﾌｧﾐﾘ-ﾏ-ﾄ,136,少額の物品購入(10万円以上は固定資産の可能性あり・要確認)
会議費,カフェ;CAFE;スターバックス;STARBUCKS;スタバ;ドトール;DOUTOR;喫茶;珈琲;コーヒー;タリーズ;ﾀﾘ-ｽﾞ;TULLY;マクドナルド;ﾏｸﾄﾞﾅﾙﾄﾞ;ルノアール;ﾙﾉｱ-ﾙ;UBER EATS;ウーバーイーツ;カード年会費,136,飲食1万円以下は会議費・1万円超は交際費(このキットは金額切替なし・登録前に確認)
交際費,居酒屋;レストラン;会食;酒場,136,接待飲食。1万円以下なら会議費が原則
通信費,GOOGLE;SLACK;ZOOM;NOTION;ADOBE;アドビ;ANTHROPIC;CLAUDE;OPENAI;CHATGPT;GITHUB;MICROSOFT;AWS;FREEE;マネーフォワード;MONEYFORWARD;CANVA;FIGMA;CHATWORK;クラウドサイン;ｸﾗｳﾄﾞｻｲﾝ;CLOUDSIGN;ムームードメイン;エックスサーバー;XSERVER;ドコモ;ﾄﾞｺﾓ;ソフトバンク;ｿﾌﾄﾊﾞﾝｸ;楽天モバイル;日本郵便;ヤマト運輸;APPLE COM BILL;APPLE.COM/BILL,136,SaaS・通信。海外SaaS(Claude等)の税区分は事務所の方針に合わせて調整
支払手数料,振込手数料;ﾌﾘｺﾐﾃｽｳﾘﾖｳ;決済手数料;為替手数料;手数料;ﾃｽｳﾘﾖｳ;STRIPE;ストライプ;PAYPAL,136,「手数料」は広めのキーワード。誤判定が出たら削って個別表記に
広告宣伝費,PR TIMES;PRTIMES;ピーアールタイムズ;INDEED;インディード;ヤフー広告;FACEBK;FACEBOOK,136,広告・PR・採用広告
車両費,ENEOS;エネオス;出光;IDEMITSU;コスモ石油;COSMO;ガソリン;駐車場;パーキング;PARKING;タイムズ,136,ガソリン・駐車場など車両関連
福利厚生費,ウォーターサーバー;トレーニング;GYM,136,従業員向け。役員だけの場合は要確認
諸会費,年会費;MEMBERSHIP FEE;税理士会,136,カード年会費は上の会議費ルールが先に当たる(順番で制御)
地代家賃,家賃;ヤチン;バーチャルオフィス;ﾊﾞ-ﾁｬﾙｵﾌｨｽ,136,家賃・バーチャルオフィス
保険料,火災保険;損害保険;自動車保険;損保;ｿﾝﾎﾟ,136,生命保険は契約形態で扱いが変わるため対象外(要確認に回す)
外注費,ココナラ;COCONALA,136,業務委託。源泉徴収の要否に注意
